,keltner,engulf
0,Signal.WAIT,Signal.WAIT
1,Signal.WAIT,Signal.WAIT
2,Signal.BUY,Signal.WAIT
3,Signal.BUY,Signal.WAIT
4,Signal.WAIT,Signal.WAIT
5,Signal.WAIT,Signal.WAIT
6,Signal.WAIT,Signal.WAIT
7,Signal.WAIT,Signal.WAIT
8,Signal.WAIT,Signal.WAIT
9,Signal.WAIT,Signal.WAIT
10,Signal.WAIT,Signal.WAIT
11,Signal.WAIT,Signal.WAIT
12,Signal.WAIT,Signal.WAIT
13,Signal.WAIT,Signal.WAIT
14,Signal.WAIT,Signal.WAIT
15,Signal.WAIT,Signal.WAIT
16,Signal.SELL,Signal.WAIT
17,Signal.SELL,Signal.WAIT
18,Signal.SELL,Signal.WAIT
19,Signal.SELL,Signal.WAIT
20,Signal.SELL,Signal.WAIT
21,Signal.SELL,Signal.WAIT
22,Signal.SELL,Signal.WAIT
23,Signal.SELL,Signal.WAIT
24,Signal.SELL,Signal.WAIT
25,Signal.SELL,Signal.WAIT
26,Signal.SELL,Signal.WAIT
27,Signal.SELL,Signal.WAIT
28,Signal.SELL,Signal.WAIT
29,Signal.SELL,Signal.WAIT
30,Signal.SELL,Signal.WAIT
31,Signal.SELL,Signal.WAIT
32,Signal.SELL,Signal.WAIT
33,Signal.SELL,Signal.WAIT
34,Signal.SELL,Signal.WAIT
35,Signal.SELL,Signal.WAIT
36,Signal.SELL,Signal.WAIT
37,Signal.WAIT,Signal.WAIT
38,Signal.SELL,Signal.WAIT
39,Signal.WAIT,Signal.WAIT
40,Signal.WAIT,Signal.WAIT
41,Signal.WAIT,Signal.WAIT
42,Signal.WAIT,Signal.WAIT
43,Signal.WAIT,Signal.WAIT
44,Signal.WAIT,Signal.WAIT
45,Signal.SELL,Signal.WAIT
46,Signal.SELL,Signal.WAIT
47,Signal.SELL,Signal.WAIT
48,Signal.SELL,Signal.WAIT
49,Signal.SELL,Signal.WAIT
50,Signal.SELL,Signal.WAIT
51,Signal.SELL,Signal.BUY
52,Signal.SELL,Signal.WAIT
53,Signal.SELL,Signal.WAIT
54,Signal.WAIT,Signal.SELL
55,Signal.WAIT,Signal.WAIT
56,Signal.WAIT,Signal.WAIT
57,Signal.WAIT,Signal.WAIT
58,Signal.WAIT,Signal.WAIT
59,Signal.WAIT,Signal.WAIT
60,Signal.WAIT,Signal.WAIT
61,Signal.WAIT,Signal.WAIT
62,Signal.WAIT,Signal.WAIT
63,Signal.WAIT,Signal.WAIT
64,Signal.WAIT,Signal.WAIT
65,Signal.WAIT,Signal.WAIT
66,Signal.WAIT,Signal.WAIT
67,Signal.WAIT,Signal.BUY
68,Signal.WAIT,Signal.WAIT
69,Signal.BUY,Signal.WAIT
70,Signal.WAIT,Signal.WAIT
71,Signal.WAIT,Signal.WAIT
72,Signal.WAIT,Signal.WAIT
73,Signal.WAIT,Signal.WAIT
74,Signal.WAIT,Signal.WAIT
75,Signal.WAIT,Signal.WAIT
76,Signal.WAIT,Signal.WAIT
77,Signal.WAIT,Signal.WAIT
78,Signal.WAIT,Signal.WAIT
79,Signal.WAIT,Signal.WAIT
80,Signal.WAIT,Signal.WAIT
81,Signal.WAIT,Signal.WAIT
82,Signal.WAIT,Signal.WAIT
83,Signal.WAIT,Signal.WAIT
84,Signal.WAIT,Signal.WAIT
85,Signal.WAIT,Signal.WAIT
86,Signal.WAIT,Signal.WAIT
87,Signal.WAIT,Signal.WAIT
88,Signal.WAIT,Signal.WAIT
89,Signal.WAIT,Signal.WAIT
90,Signal.WAIT,Signal.WAIT
91,Signal.WAIT,Signal.WAIT
92,Signal.WAIT,Signal.WAIT
93,Signal.SELL,Signal.WAIT
94,Signal.WAIT,Signal.WAIT
95,Signal.WAIT,Signal.WAIT
96,Signal.WAIT,Signal.WAIT
97,Signal.WAIT,Signal.WAIT
98,Signal.WAIT,Signal.WAIT
99,Signal.WAIT,Signal.WAIT
100,Signal.WAIT,Signal.WAIT
101,Signal.BUY,Signal.WAIT
102,Signal.BUY,Signal.WAIT
103,Signal.BUY,Signal.WAIT
104,Signal.BUY,Signal.WAIT
105,Signal.BUY,Signal.WAIT
106,Signal.BUY,Signal.WAIT
107,Signal.BUY,Signal.WAIT
108,Signal.BUY,Signal.WAIT
109,Signal.BUY,Signal.WAIT
110,Signal.BUY,Signal.WAIT
111,Signal.BUY,Signal.WAIT
112,Signal.BUY,Signal.WAIT
113,Signal.BUY,Signal.WAIT
114,Signal.BUY,Signal.WAIT
115,Signal.BUY,Signal.WAIT
116,Signal.BUY,Signal.WAIT
117,Signal.BUY,Signal.WAIT
118,Signal.WAIT,Signal.WAIT
119,Signal.SELL,Signal.WAIT
120,Signal.SELL,Signal.WAIT
121,Signal.SELL,Signal.WAIT
122,Signal.SELL,Signal.WAIT
123,Signal.SELL,Signal.WAIT
124,Signal.SELL,Signal.WAIT
125,Signal.SELL,Signal.WAIT
126,Signal.SELL,Signal.WAIT
127,Signal.SELL,Signal.WAIT
128,Signal.SELL,Signal.WAIT
129,Signal.SELL,Signal.WAIT
130,Signal.SELL,Signal.WAIT
131,Signal.SELL,Signal.WAIT
132,Signal.SELL,Signal.WAIT
133,Signal.SELL,Signal.WAIT
134,Signal.BUY,Signal.WAIT
135,Signal.BUY,Signal.WAIT
136,Signal.BUY,Signal.WAIT
137,Signal.BUY,Signal.WAIT
138,Signal.BUY,Signal.WAIT
139,Signal.BUY,Signal.WAIT
